File,Average Fitness,Worst Fitness,Best Fitness
Ackley_2D,3.86e-03,1.69e-02,1.52e-04
Ackley_10D,2.85e-01,2.44e+00,4.12e-03
Ackley_30D,3.12e+00,5.77e+00,1.90e+00
HappyCat_2D,1.25e-01,2.63e-01,1.92e-02
HappyCat_10D,2.07e-01,3.29e-01,1.17e-01
HappyCat_30D,4.86e-01,7.95e-01,2.81e-01
Michalewicz_2D,-1.51e+00,-9.95e-01,-1.77e+00
Michalewicz_10D,-3.69e+00,-3.17e+00,-4.67e+00
Michalewicz_30D,-8.85e+00,-7.76e+00,-1.02e+01
Rastrigin_2D,2.19e-04,1.59e-03,1.42e-06
Rastrigin_10D,2.69e+00,5.98e+00,1.37e-02
Rastrigin_30D,1.58e+01,7.80e+01,6.00e+00
Rosenbrock_2D,1.20e-02,1.23e-01,3.33e-08
Rosenbrock_10D,1.11e+01,8.13e+01,1.53e-01
Rosenbrock_30D,3.16e+01,1.23e+02,2.51e+01
Zakharov_2D,8.51e-07,8.64e-06,1.46e-09
Zakharov_10D,1.16e-01,5.46e-01,9.02e-06
Zakharov_30D,8.92e+00,1.93e+01,1.54e+00
